talent_id,talent_title,skill
22,Data Scientist22,"['Algorithms and Data Structures', 'Artificial Intelligence', 'Artificial Neural Networks', 'Business Intelligence', 'Business Intelligence Engineering', 'Data Cleansing', 'Data Warehousing', 'Keras', 'Machine Learning', 'PyTorch', 'Tensorflow']"
23,Data Scientist23,"['Business Analysis', 'Data Cleansing', 'Data Warehousing', 'Deep Learning', 'Flask', 'Keras', 'Natural Language Processing (NLP)', 'Power BI']"
24,Data Scientist24,"['Business Analysis', 'Computer Vision', 'Data Analysis', 'Data Cleansing', 'Flask', 'Keras', 'Machine Learning', 'PyTorch', 'Reinforcement Learning', 'Scikit-Learn', 'Tensorflow']"
25,Data Scientist25,"['Algorithms and Data Structures', 'Artificial Neural Networks', 'Business Analysis', 'Business Intelligence Engineering', 'Data Warehousing', 'Git', 'GitHub', 'Power BI', 'Reinforcement Learning', 'Scipy', 'Tensorflow']"
26,Data Scientist26,"['Algorithms and Data Structures', 'Artificial Neural Networks', 'Business Analysis', 'Business Intelligence Engineering', 'Data Analysis', 'Data Cleansing', 'Flask', 'GitHub', 'Natural Language Processing (NLP)', 'PyTorch', 'Tensorflow']"
27,Data Scientist27,"['Algorithms and Data Structures', 'Business Intelligence', 'Business Intelligence Engineering', 'Computer Vision', 'Data Analysis', 'Deep Learning', 'Git', 'GitHub']"
28,Data Scientist28,"['Artificial Intelligence', 'Artificial Neural Networks', 'Business Intelligence Engineering', 'Data Cleansing', 'GitHub', 'Matplotlib', 'Natural Language Processing (NLP)', 'Python', 'PyTorch', 'Reinforcement Learning', 'Scipy']"
29,Data Scientist29,"['Artificial Neural Networks', 'Business Intelligence', 'Computer Vision', 'Keras', 'Machine Learning', 'Python', 'Scikit-Learn', 'Tensorflow']"
30,Data Scientist30,"['Computer Vision', 'Data Cleansing', 'Data Warehousing', 'Flask', 'Git', 'Machine Learning', 'Matplotlib', 'Natural Language Processing (NLP)', 'Power BI', 'Scikit-Learn', 'Tensorflow']"
31,Data Engineer1,"['Apache', 'Apache Beam', 'Apache Pulsar', 'Apache Spark', 'Azure Databricks', 'Database Administration', 'ETL', 'Oracle Database Administration', 'Spark', 'SQLite']"
32,Data Engineer2,"['Apache Kafka', 'Apache Pulsar', 'Data Warehousing', 'Go', 'Troubleshooting']"
33,Data Engineer3,"['Amazon Kinesis', 'Apache NiFi', 'Apache Pulsar', 'Azure Modern Data', 'Hadoop', 'MySQL', 'Oracle Database Administration', 'Redux', 'SQLite']"
34,Data Engineer4,"['Apache Pulsar', 'Apache Solr', 'Azure Data Lake', 'Data Warehousing', 'GitHub', 'HDFS', 'Java', 'T-SQL', 'WebScrape']"
35,Data Engineer5,"['Apache', 'Apache Kafka', 'Apache NiFi', 'Apache Pulsar', 'HDFS', 'Java', 'Redis']"
36,Data Engineer6,"['Amazon Redshift', 'Apache Pulsar', 'Azure', 'Data Warehousing', 'ETL', 'Go', 'Hadoop', 'HBase', 'HDFS', 'T-SQL', 'WebScrape']"
37,Data Engineer7,"['Apache Beam', 'Apache Storm', 'Azure', 'Azure Data Factory', 'Azure Databricks', 'ETL', 'Hadoop', 'HDFS', 'Kafka', 'Oracle', 'Redis', 'Redux', 'Scala', 'Spark']"
38,Data Engineer8,"['Amazon Kinesis', 'Apache Mesos', 'Apache NiFi', 'Apache Storm', 'Azure Cosmos DB']"
39,Data Engineer9,"['Apache Flume', 'Apache Kafka', 'Apache Mesos', 'Apache Pulsar', 'Apache Solr', 'Azure Data Factory', 'Azure Data Lake', 'Cloud', 'Database Administration', 'Excel', 'Go', 'HBase', 'Oracle', 'Python', 'Redux']"
40,Data Engineer10,"['Amazon Firehose', 'Apache', 'Azure Cloud SQL', 'Azure Data Factory', 'Azure Databricks', 'HBase', 'Spark', 'SQL', 'T-SQL']"
41,Data Engineer11,"['Amazon Kinesis', 'Apache Pulsar', 'Azure Data Factory', 'Data Warehousing', 'Go', 'MySQL', 'Python']"
42,Data Engineer12,"['Apache Kafka', 'Azure', 'Azure Modern Data', 'Data Engineering', 'Oracle', 'WebScrape']"
43,Data Engineer13,"['Apache Flume', 'Apache Pulsar', 'Apache Storm', 'Azure', 'Azure Cloud SQL', 'Azure Data Factory', 'Data Engineering', 'Git', 'Scala', 'SQLite', 'WebScrape']"
44,Data Engineer14,"['Amazon Firehose', 'Azure Cloud SQL', 'Excel', 'GitHub', 'Hadoop', 'HBase', 'MySQL']"
45,Data Engineer15,"['Amazon Kinesis', 'Apache Flume', 'Apache Mesos', 'Azure Data Factory', 'Data Engineer', 'Data Engineering', 'Go', 'HDFS', 'Java', 'Troubleshooting', 'T-SQL']"
46,Data Engineer16,"['Amazon Kinesis', 'Apache Mesos', 'Apache Pulsar', 'Azure Cosmos DB', 'Azure Databricks', 'Kafka', 'T-SQL']"
47,Data Engineer17,"['Amazon Kinesis', 'Apache Pulsar', 'Apache Solr', 'Azure Data Factory', 'Azure Databricks', 'Data Engineering', 'Oracle', 'SQL', 'SQLite', 'Troubleshooting']"
48,Data Engineer18,"['Apache Flume', 'Apache Kafka', 'Apache Solr', 'Azure', 'Data Engineer', 'Oracle Database Administration', 'SQL', 'WebScrape']"
49,Data Engineer19,"['Amazon Redshift', 'Apache', 'Apache NiFi', 'Apache Pulsar', 'Azure Databricks', 'Database Administration', 'Hadoop', 'Oracle Database Administration', 'Python', 'SQL', 'WebScrape']"
50,Data Engineer20,"['Apache Beam', 'Apache Kafka', 'Apache Solr', 'Azure Cosmos DB', 'Cloud', 'GitHub', 'SQL', 'SQLite']"
51,Data Engineer21,"['Apache Kafka', 'Apache Mesos', 'Database Administration', 'Excel', 'HBase', 'Kafka', 'SQLite', 'T-SQL']"
52,Data Engineer22,"['Amazon Firehose', 'Apache Solr', 'Apache Spark', 'Azure Data Lake', 'Data Engineer', 'ETL']"
53,Data Engineer23,"['Apache Flume', 'Apache Mesos', 'Azure Cloud SQL', 'Azure Cosmos DB', 'Azure Data Factory', 'Azure Data Lake', 'Data Warehousing', 'HDFS', 'Python', 'Redux']"
54,Data Engineer24,"['Apache Beam', 'Apache Kafka', 'Apache Solr', 'Apache Spark', 'Azure Cloud SQL', 'GitHub', 'HDFS', 'MySQL', 'Python', 'Redis']"
55,Data Engineer25,"['Amazon Redshift', 'Apache Flume', 'Apache Mesos', 'Apache Pulsar', 'Azure', 'Azure Data Factory', 'Azure Modern Data', 'Excel', 'Git', 'GitHub', 'Scala']"
56,Data Engineer26,"['Amazon Firehose', 'Apache NiFi', 'Apache Pulsar', 'Apache Solr', 'Azure Cosmos DB', 'Azure Databricks', 'Azure Modern Data', 'Data Engineer', 'Data Engineering', 'Database Administration', 'Git']"
57,Data Engineer27,"['Amazon Firehose', 'Amazon Redshift', 'Apache Flume', 'Apache Kafka', 'Azure Modern Data', 'Oracle Database Administration', 'Python', 'Redux', 'Scala', 'WebScrape']"
58,Data Engineer28,"['Apache Kafka', 'Apache Spark', 'Cloud', 'Data Engineer', 'Data Warehousing', 'Redux', 'Scala']"
59,Data Engineer29,"['Amazon Redshift', 'Apache', 'Data Warehousing', 'ETL', 'MySQL', 'Python', 'Spark', 'SQL']"
60,Data Engineer30,"['Azure Cloud SQL', 'Azure Databricks', 'Data Engineer', 'Database Administration', 'HBase', 'Java', 'Kafka', 'MySQL', 'Oracle Database Administration', 'Redux', 'Spark']"
61,Devops Engineer1,"['Azure DevOps', 'Cloud', 'Elastic BeanStalk', 'Gitflow', 'GitLab', 'Hybrid Cloud Management', 'Jira', 'Unit Testing']"
62,Devops Engineer2,"['AWS', 'AWS DevOps', 'Azure', 'CircleCI', 'Functional Testing', 'Git', 'Hybrid Cloud Management', 'Integration Testing', 'Kubernetes', 'Puppet', 'Salesforce', 'Selenium', 'TDD/Test-Driven Development', 'Unit Testing']"
63,Devops Engineer3,"['Automation Testing', 'Cloud', 'Docker', 'Git', 'Gitflow', 'GitHub', 'Integration Testing', 'Jenkins', 'Jira', 'SaltStack', 'Selenium', 'Terraform', 'Test Planning']"
64,Devops Engineer4,"['Automation Testing', 'AWS', 'Git', 'GitLab', 'Integration Testing', 'System Integration Testing']"
65,Devops Engineer5,"['CI/CD', 'DevOps', 'E2E Testing', 'Elastic BeanStalk', 'Functional Testing', 'Gitflow', 'GitHub', 'GitLab', 'Jenkins', 'Kubernetes', 'Software Testing']"
66,Devops Engineer6,"['Azure', 'E2E Testing', 'Elastic BeanStalk', 'Git', 'Integration Testing', 'Jira', 'Kubernetes', 'Salesforce', 'Selenium', 'Software Testing', 'System Integration Testing', 'TDD/Test-Driven Development', 'Terraform']"
67,Devops Engineer7,"['Automation Testing', 'AWS DevOps', 'Cloud', 'DevOps', 'E2E Testing', 'Kubernetes', 'Puppet', 'Selenium', 'Test Driven Design']"
68,Devops Engineer8,"['AWS', 'Cloud', 'Git', 'Integration Testing', 'Salesforce', 'Test Driven Design']"
69,Devops Engineer9,"['Ansible', 'Git', 'SaltStack', 'System Integration Testing', 'Test Planning']"
70,Devops Engineer10,"['GitHub', 'Hybrid Cloud Management', 'Jira', 'TDD/Test-Driven Development']"
71,Devops Engineer11,"['Docker', 'Elastic BeanStalk', 'Hybrid Cloud Management', 'Selenium', 'Software Testing', 'System Integration Testing', 'TDD/Test-Driven Development']"
72,Devops Engineer12,"['AWS DevOps', 'Azure', 'CircleCI', 'E2E Testing', 'Functional Testing', 'Hybrid Cloud Management', 'Jira', 'Puppet', 'Salesforce', 'TDD/Test-Driven Development']"
73,Devops Engineer13,"['Atlassian', 'Automation Testing', 'Azure', 'DevOps', 'GitHub', 'Integration Testing', 'SaltStack', 'Terraform']"
74,Devops Engineer14,"['Ansible', 'AWS DevOps', 'Azure', 'Cloud', 'Docker', 'Hybrid Cloud Management', 'Salesforce', 'SaltStack', 'Selenium', 'Software Testing', 'TDD/Test-Driven Development', 'Unit Testing']"
75,Devops Engineer15,"['Azure DevOps', 'CI/CD', 'CircleCI', 'Git', 'Jenkins', 'Jira', 'Maven', 'Salesforce', 'System Integration Testing', 'TDD/Test-Driven Development']"
76,Devops Engineer16,"['Atlassian', 'Azure', 'Azure DevOps', 'CI/CD', 'Cloud', 'DevOps', 'Jenkins', 'Puppet', 'Salesforce', 'Selenium', 'System Integration Testing', 'TDD/Test-Driven Development', 'Test Driven Design']"
77,Devops Engineer17,"['AWS DevOps', 'CI/CD', 'Cloud', 'DevOps', 'Gitflow', 'Jira']"
78,Devops Engineer18,"['AWS DevOps', 'Functional Testing', 'GitHub', 'Hybrid Cloud Management', 'Jenkins', 'Kubernetes', 'Selenium', 'TDD/Test-Driven Development', 'Terraform', 'Unit Testing']"
79,Devops Engineer19,"['AWS DevOps', 'Azure', 'Docker', 'E2E Testing', 'Gitflow', 'GitHub', 'SaltStack', 'Software Testing', 'Test Driven Design']"
80,Devops Engineer20,"['Azure', 'Azure DevOps', 'GitHub', 'GitLab', 'Puppet', 'Selenium']"
81,Devops Engineer21,"['DevOps', 'E2E Testing', 'Git', 'Kubernetes', 'Salesforce', 'Software Testing', 'Test Planning']"
82,Devops Engineer22,"['Ansible', 'Azure', 'Azure DevOps', 'CI/CD', 'DevOps', 'Elastic BeanStalk', 'GitHub', 'GitLab', 'Jira', 'Puppet', 'System Integration Testing', 'TDD/Test-Driven Development', 'Test Planning']"
83,Devops Engineer23,"['CircleCI', 'Git', 'Hybrid Cloud Management', 'Puppet', 'SaltStack']"
84,Devops Engineer24,"['Azure', 'Azure DevOps', 'Kubernetes', 'TDD/Test-Driven Development', 'Test Driven Design', 'Test Planning', 'Unit Testing']"
85,Devops Engineer25,"['Atlassian', 'Azure DevOps', 'CI/CD', 'Cloud', 'DevOps', 'Elastic BeanStalk', 'Jenkins', 'Jira', 'Maven', 'Test Driven Design', 'Unit Testing']"
86,Devops Engineer26,"['AWS', 'CircleCI', 'TDD/Test-Driven Development', 'Unit Testing']"
87,Devops Engineer27,"['Ansible', 'Cloud', 'Functional Testing', 'Gitflow', 'Kubernetes', 'System Integration Testing']"
88,Devops Engineer28,"['Atlassian', 'Automation Testing', 'Hybrid Cloud Management', 'Kubernetes', 'Salesforce', 'Unit Testing']"
89,Devops Engineer29,"['Ansible', 'Atlassian', 'Azure DevOps', 'DevOps', 'E2E Testing', 'Hybrid Cloud Management', 'Integration Testing', 'Jira', 'Test Driven Design', 'Test Planning']"
90,Devops Engineer30,"['Azure DevOps', 'CircleCI', 'Cloud', 'Docker', 'Maven', 'SaltStack', 'Software Testing', 'Terraform', 'Unit Testing']"
91,Cloud Engineer1,"['AWS Lambda', 'Azure Cosmos DB', 'Azure DevOps', 'Azure Modern Data', 'Vagrant']"
92,Cloud Engineer2,"['AWS Administration', 'AWS Lambda', 'Azure Cloud SQL', 'Azure DevOps', 'Cloud']"
93,Cloud Engineer3,"['AWS Lambda', 'Azure', 'Google Cloud Platform']"
94,Cloud Engineer4,"['AWS Aurora', 'AWS Cognito', 'AWS Lambda', 'Axure', 'Azure Eventhub', 'Azure Function App', 'Vagrant']"
95,Cloud Engineer5,"['AWS', 'AWS Lambda', 'Axio', 'Axure', 'Azure', 'Azure Cloud SQL', 'Azure Cosmos DB', 'Azure Data Lake', 'Azure Eventhub', 'Cloud Migration']"
96,Cloud Engineer6,"['Axio', 'Axure', 'Azure Cloud SQL', 'Azure Data Lake', 'Azure Databricks', 'Azure DevOps', 'Azure Function App', 'Cloud', 'Google Cloud Platform', 'Hybrid Cloud Management']"
97,Cloud Engineer7,"['AWS Administration', 'AWS Glue', 'Axio', 'Azure Eventhub', 'Azure Function App', 'Cloud Migration']"
98,Cloud Engineer8,"['AWS', 'AWS Administration', 'AWS Amplify', 'AWS Aurora', 'AWS Cognito', 'AWS Lambda', 'AWS Solutions Architecture', 'Axure', 'Azure', 'Azure Cloud SQL', 'Azure Databricks', 'Azure DevOps', 'Azure Eventhub', 'Azure Function App', 'Hybrid Cloud Management']"
99,Cloud Engineer9,"['AWS Solutions Architecture', 'Azure', 'Azure Data Factory', 'Azure Modern Data', 'Cloud', 'Cloud Migration', 'Vagrant']"
100,Cloud Engineer10,"['AWS Cognito', 'AWS Lambda', 'AWS Solutions Architecture', 'Axio', 'Axure', 'Azure', 'Azure Eventhub', 'Azure Function App', 'Azure Modern Data', 'Hybrid Cloud Management', 'Vagrant']"
101,Cloud Engineer11,"['Axio', 'Azure', 'Azure Cloud SQL', 'Azure Databricks', 'Azure Function App', 'Hybrid Cloud Management']"
102,Cloud Engineer12,"['AWS', 'AWS Amplify', 'AWS Aurora', 'AWS Solutions Architecture', 'Axio', 'Azure Cosmos DB', 'Azure Databricks', 'Azure DevOps', 'Cloud Migration']"
103,Cloud Engineer13,"['AWS Administration', 'AWS Aurora', 'AWS Solutions Architecture', 'Axio', 'Axure', 'Azure', 'Azure Cloud SQL', 'Azure Cosmos DB', 'Azure Data Factory', 'Azure Databricks', 'Azure DevOps', 'Azure Eventhub', 'Google Cloud Platform', 'Vagrant']"
104,Cloud Engineer14,"['AWS Administration', 'AWS Solutions Architecture', 'Axure', 'Azure', 'Azure Eventhub', 'Azure Modern Data', 'Cloud', 'Hybrid Cloud Management', 'Vagrant']"
105,Cloud Engineer15,"['AWS', 'AWS Administration', 'AWS Aurora', 'AWS Lambda', 'Axio', 'Axure', 'Azure', 'Azure Cloud SQL', 'Azure Cosmos DB', 'Azure Data Factory', 'Azure Eventhub', 'Azure Modern Data', 'Cloud', 'Hybrid Cloud Management']"
106,Cloud Engineer16,"['AWS', 'AWS Cognito', 'AWS Lambda', 'Axio', 'Azure DevOps', 'Azure Function App', 'Hybrid Cloud Management', 'Vagrant']"
107,Cloud Engineer17,"['AWS Amplify', 'Axio', 'Azure Cosmos DB', 'Azure Modern Data', 'Hybrid Cloud Management', 'Vagrant']"
108,Cloud Engineer18,"['AWS Administration', 'Azure Data Lake', 'Azure DevOps', 'Cloud Migration']"
109,Cloud Engineer19,"['AWS Glue', 'AWS Solutions Architecture', 'Azure Data Factory', 'Azure Databricks', 'Azure Modern Data', 'Cloud', 'Google Cloud Platform', 'Hybrid Cloud Management']"
110,Cloud Engineer20,"['AWS Amplify', 'AWS Lambda', 'Azure Data Lake', 'Azure Databricks', 'Azure Eventhub', 'Azure Function App', 'Azure Modern Data', 'Cloud']"
111,Cloud Engineer21,"['AWS', 'AWS Aurora', 'AWS Cognito', 'Axio', 'Azure Databricks', 'Azure Function App', 'Cloud', 'Vagrant']"
112,Cloud Engineer22,"['AWS Aurora', 'AWS Cognito', 'Axio', 'Azure Data Lake', 'Azure Function App', 'Google Cloud Platform']"
113,Cloud Engineer23,"['AWS', 'AWS Administration', 'AWS Lambda', 'Azure Databricks', 'Azure Eventhub', 'Azure Modern Data', 'Cloud Migration']"
114,Cloud Engineer24,"['AWS Administration', 'AWS Amplify', 'AWS Aurora', 'AWS Cognito', 'Axure', 'Azure Cosmos DB', 'Azure Data Factory', 'Azure Data Lake', 'Azure Databricks', 'Cloud', 'Cloud Migration', 'Google Cloud Platform', 'Hybrid Cloud Management']"
115,Cloud Engineer25,"['AWS Lambda', 'AWS Solutions Architecture', 'Azure Cloud SQL', 'Azure Modern Data', 'Hybrid Cloud Management']"
116,Cloud Engineer26,"['AWS Aurora', 'AWS Cognito', 'AWS Glue', 'Azure', 'Azure Cloud SQL', 'Azure Data Lake', 'Azure DevOps', 'Azure Function App', 'Azure Modern Data', 'Cloud', 'Google Cloud Platform']"
117,Cloud Engineer27,"['AWS Glue', 'AWS Solutions Architecture', 'Axure', 'Azure', 'Azure Databricks', 'Azure DevOps', 'Google Cloud Platform', 'Vagrant']"
118,Cloud Engineer28,"['AWS Administration', 'AWS Cognito', 'AWS Solutions Architecture', 'Azure Data Lake', 'Azure Databricks', 'Azure Function App', 'Cloud', 'Cloud Migration', 'Hybrid Cloud Management']"
119,Cloud Engineer29,"['AWS Aurora', 'Azure', 'Azure Cloud SQL', 'Azure Cosmos DB', 'Cloud', 'Hybrid Cloud Management', 'Vagrant']"
120,Cloud Engineer30,"['AWS', 'AWS Administration', 'AWS Amplify', 'Azure', 'Azure Cloud SQL', 'Azure Data Factory', 'Azure Modern Data', 'Cloud Migration', 'Hybrid Cloud Management']"
121,Security Engineer1,"['AES/RSA Encryption', 'Auth0', 'Blockchain', 'Cyber Security', 'JWT', 'OAuth APIs', 'Python Security Automation', 'White Hat Link Building']"
122,Security Engineer2,"['Blockchain', 'Cyber Security', 'Ethical Hacking', 'Python', 'Python Security Automation', 'Server-Sent Events', 'Shell Scripting', 'SSL/TLS & Certificate Authorities']"
123,Security Engineer3,"['AES/RSA Encryption', 'Cyber Security', 'Ethical Hacking', 'OAuth APIs', 'Python', 'Security', 'SSH', 'SSL/TLS & Certificate Authorities', 'Vault', 'White Hat Link Building']"
124,Security Engineer4,"['Algorithms and Data Structures', 'Auth0', 'Ethical Hacking', 'Server-Sent Events', 'Shell Scripting', 'Vault', 'White Hat Link Building']"
125,Security Engineer5,"['Cyber Security', 'JWT', 'OAuth APIs', 'Python Security Automation', 'Server-Sent Events', 'Vault']"
126,Security Engineer6,"['Algorithms and Data Structures', 'Auth0', 'OAuth APIs', 'Security', 'Vault', 'White Hat Link Building']"
127,Security Engineer7,"['AES/RSA Encryption', 'Algorithms and Data Structures', 'Auth0', 'Blockchain', 'Cyber Security', 'Ethical Hacking', 'JWT', 'OAuth APIs', 'Python Security Automation', 'SSH', 'Vault', 'White Hat Link Building']"
128,Security Engineer8,"['AES/RSA Encryption', 'Algorithms and Data Structures', 'Cyber Security', 'Ethical Hacking', 'Python', 'Vault', 'White Hat Link Building']"
129,Security Engineer9,"['Auth0', 'Cyber Security', 'Ethical Hacking', 'JWT', 'OAuth APIs', 'Python', 'Security', 'White Hat Link Building']"
130,Security Engineer10,"['AES/RSA Encryption', 'Algorithms and Data Structures', 'Blockchain', 'Ethical Hacking', 'JWT', 'OAuth APIs', 'Problem Solving', 'Security', 'Server-Sent Events', 'White Hat Link Building']"
131,Security Engineer11,"['AES/RSA Encryption', 'Algorithms and Data Structures', 'Auth0', 'Cyber Security', 'Ethical Hacking', 'JWT', 'OAuth APIs', 'Python Security Automation', 'Security', 'Shell Scripting']"
132,Security Engineer12,"['Auth0', 'Blockchain', 'Cyber Security', 'Ethical Hacking', 'OAuth APIs', 'Server-Sent Events', 'Shell Scripting', 'Vault']"
133,Security Engineer13,"['AES/RSA Encryption', 'Algorithms and Data Structures', 'Blockchain', 'JWT', 'OAuth APIs', 'Problem Solving', 'Python', 'Python Security Automation', 'Security', 'SSL/TLS & Certificate Authorities', 'Vault']"
134,Security Engineer14,"['Algorithms and Data Structures', 'OAuth APIs', 'Python', 'Python Security Automation', 'Shell Scripting']"
135,Security Engineer15,"['AES/RSA Encryption', 'Blockchain', 'Cyber Security', 'JWT', 'OAuth APIs', 'Python', 'Security', 'Server-Sent Events', 'Shell Scripting']"
136,Security Engineer16,"['AES/RSA Encryption', 'Blockchain', 'JWT', 'OAuth APIs', 'Python', 'Python Security Automation', 'Server-Sent Events', 'SSL/TLS & Certificate Authorities']"
137,Security Engineer17,"['Blockchain', 'Cyber Security', 'Ethical Hacking', 'JWT', 'OAuth APIs', 'Python', 'Python Security Automation', 'Vault', 'White Hat Link Building']"
138,Security Engineer18,"['Algorithms and Data Structures', 'Blockchain', 'Problem Solving', 'Python Security Automation', 'Security', 'Vault']"
139,Security Engineer19,"['Blockchain', 'JWT', 'Python', 'SSH']"
140,Security Engineer20,"['Auth0', 'Blockchain', 'Cyber Security', 'Ethical Hacking', 'OAuth APIs', 'Problem Solving', 'SSL/TLS & Certificate Authorities', 'Vault']"
141,Security Engineer21,"['Blockchain', 'Python', 'Server-Sent Events', 'SSL/TLS & Certificate Authorities', 'Vault', 'White Hat Link Building']"
142,Security Engineer22,"['AES/RSA Encryption', 'Cyber Security', 'Ethical Hacking', 'Problem Solving', 'Security', 'SSL/TLS & Certificate Authorities', 'Vault']"
143,Security Engineer23,"['AES/RSA Encryption', 'Auth0', 'JWT', 'Python', 'Python Security Automation', 'Security', 'Vault']"
144,Security Engineer24,"['Algorithms and Data Structures', 'Cyber Security', 'Ethical Hacking', 'JWT', 'OAuth APIs', 'Problem Solving', 'Security', 'Server-Sent Events', 'SSH']"
145,Security Engineer25,"['JWT', 'OAuth APIs', 'Problem Solving', 'Shell Scripting', 'SSH', 'Vault', 'White Hat Link Building']"
146,Security Engineer26,"['Blockchain', 'Cyber Security', 'JWT', 'Problem Solving', 'Python', 'Server-Sent Events']"
147,Security Engineer27,"['Auth0', 'Problem Solving', 'Python', 'Python Security Automation', 'Security', 'SSH', 'White Hat Link Building']"
148,Security Engineer28,"['Algorithms and Data Structures', 'Auth0', 'Ethical Hacking', 'Security', 'Server-Sent Events']"
149,Security Engineer29,"['AES/RSA Encryption', 'Cyber Security', 'JWT', 'Python', 'Shell Scripting', 'SSL/TLS & Certificate Authorities', 'White Hat Link Building']"
150,Security Engineer30,"['Algorithms and Data Structures', 'Auth0', 'OAuth APIs', 'Problem Solving', 'Server-Sent Events', 'Shell Scripting', 'SSH', 'SSL/TLS & Certificate Authorities', 'Vault', 'White Hat Link Building']"
151,DotNet Developer1,"['.NET Core', 'ASP.NET Boilerplate', 'ASP.NET Web Forms', 'C', 'C++', 'Git', 'GitHub', 'Microservices', 'SQL', 'Visual Basic', 'Web API', 'Web Development', 'Xamarin']"
152,DotNet Developer2,"['.NET', 'Algorithms and Data Structures', 'ASP.NET Boilerplate', 'GitHub', 'MVC', 'SOAP', 'Visual Basic .NET', 'Visual C++', 'Web API', 'XML']"
153,DotNet Developer3,"['ASP.NET Boilerplate', 'ASP.NET Core', 'ASP.NET MVC', 'ASP.NET/C#', 'C++', 'Git', 'MVC', 'SOAP', 'Web Services']"
154,DotNet Developer4,"['Algorithms and Data Structures', 'ASP.NET Core', 'ASP.NET MVC', 'ASP.NET Web Forms', 'Back-End Development', 'C#', 'GitHub', 'Microservices']"
155,DotNet Developer5,"['.NET MVC', 'ASP.NET', 'ASP.NET Boilerplate', 'ASP.NET Core', 'ASP.NET Web Forms', 'ASP.NET/C#', 'C#', 'MVC', 'SQL', 'Web API']"
156,DotNet Developer6,"['.NET Core', '.NET MVC', 'Algorithms and Data Structures', 'ASP.NET', 'ASP.NET Core', 'ASP.NET/C#', 'C#', 'Git', 'GitHub', 'SOAP', 'Visual Basic', 'Web API', 'Web Development']"
